ORF,YPD rep1 fitness,YPD rep1 Q-value,YPD rep2 fitness,YPD rep2 Q-value,YPG fitness,YPG Q-value,YPE fitness,YPE Q-value,SC fitness,SC Q-value,OAK fitness,OAK Q-value,ETH fitness,ETH Q-value,Gene.primaryIdentifier,Gene.symbol,Gene.name,Gene.functionSummary,Gene.phenotypeSummary,Gene.briefDescription,Gene.description,Gene.length,Gene.chromosomeLocation.start,Gene.chromosomeLocation.end,Gene.chromosome.primaryIdentifier,GO.Slim
YCL046W,1.0189,0.12421,0.9901,0.07972,1.0209,0.02098,1.051,0.00013,1.0106,0.064,0.9741,0.31764,0.9918,0.14154,S000000551,,,,,Dubious open reading frame,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YCL045C",324,46640,46963,chrIII,molecular function unknown
YCL048W,0.9981,0.50392,1.0018,0.41119,0.9957,0.29835,1.0161,0.14618,1.0048,0.24782,1.025,0.32579,1.0021,0.32947,S000000553,SPS22,SPorulation Specific 2 too (2),,,Protein of unknown function,"Protein of unknown function; SPS22 has a paralog, SPS2, that arose from the whole genome duplication; redundant with Sps2p for the organization of the beta-glucan layer of the spore wall",1392,42165,43556,chrIII,molecular function unknown
YCL049C,1.0144,0.21668,0.9953,0.27285,1.011,0.14584,1.0166,0.13867,0.9951,0.24427,1.0213,0.35997,0.998,0.33338,S000000554,,,Protein whose biological role is unknown; localizes to membranes|uniprot_proteome=UP000002311,,Protein of unknown function,Protein of unknown function; localizes to membrane fraction; YCL049C is not an essential gene,939,39786,40724,chrIII,molecular function unknown
YCL050C,1.0125,0.25919,0.9832,0.00419,1.0602,0,1.0609,0,0.9698,0,1.049,0.12592,0.9908,0.11583,S000000555,APA1,AP4A phosphorylase,,"Non-essential gene; null mutant has shorter chronological lifespan and decreased anaerobic growth; also shows fragmented vacuoles and increased resistance to myriocin; in large-scale studies null mutants show sensitivity to MMS, amitrole and cycloheximide, and reduced thermotolerance",AP4A phosphorylase,"AP4A phosphorylase; bifunctional diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase and ADP sulfurylase involved in catabolism of bis(5'-nucleosidyl) tetraphosphates; catalyzes phosphorolysis of dinucleoside oligophosphates, cleaving substrates' alpha/beta-anhydride bond and introducing Pi into the beta-position of the corresponding NDP formed; protein abundance increases under DNA replication stress; APA1 has a paralog, APA2, that arose from the whole genome duplication",966,37836,38801,chrIII,hydrolase activity;nucleotidyltransferase activity;transferase activity
YCL051W,0.9767,0.06238,0.9805,0.00089,1.0339,0.00031,1.078,0,1.0021,0.35687,0.9549,0.15304,0.9935,0.18852,S000000556,LRE1,Laminarase REsistance,,,Protein involved in control of cell wall structure and stress response,"Protein involved in control of cell wall structure and stress response; direct inhibitor of the nuclear Dbf2 related (NDR) kinase Cbk1p-Mob2p; overproduction confers resistance to cell-wall degrading enzymes; exhibits genetic interactions with genes involved in the cell wall integrity pathway; LRE1 has a paralog, HLR1, that arose from the whole genome duplication",1752,35865,37616,chrIII,enzyme regulator activity
YCL055W,0.9658,0.0056,0.9913,0.11247,1.0147,0.07974,1.0318,0.01492,0.9942,0.21014,0.8639,1.00E-05,0.9847,0.02356,S000000560,KAR4,KARyogamy,Sequence specific DNA-binding transcription factor involved in response to mating pheromone|uniprot_proteome=UP000002311,"Non-essential gene; null mutant shows abnormal vacuolar morphology, decreased sporulation, karyogamy, and competitive fitness; reduced function results in abnormal microtubule morphology",Transcription factor required for response to pheromones,"Transcription factor required for response to pheromones; also required during meiosis; exists in two forms, a slower-migrating form more abundant during vegetative growth and a faster-migrating form induced by pheromone",1008,27929,28936,chrIII,nucleic acid binding transcription factor activity
YCL056C,0.969,0.01258,0.9828,0.00346,0.9996,0.38594,0.9881,0.21592,0.9811,0.00188,0.9889,0.44698,0.984,0.0183,S000000561,PEX34,PEroXin,Peroxisomal membrane protein involved in the organization and biogenesis of peroxisomes|uniprot_proteome=UP000002311,,Protein that regulates peroxisome populations,"Protein that regulates peroxisome populations; peroxisomal integral membrane protein; interacts with Pex11p, Pex25p, and Pex27p to control both constitutive peroxisome division and peroxisome morphology and abundance during peroxisome proliferation",435,26925,27359,chrIII,molecular function unknown
YCL057W,1.0336,0.00662,1.0018,0.41026,1.0397,2.00E-05,1.0468,0.00044,0.9938,0.19537,0.8376,0,1.0015,0.34828,S000000562,PRD1,PRoteinase yscD,,,Zinc metalloendopeptidase,"Zinc metalloendopeptidase; found in the cytoplasm and intermembrane space of mitochondria; with Cym1p, involved in degradation of mitochondrial proteins and of presequence peptides cleaved from imported proteins; protein abundance increases in response to DNA replication stress",2139,24768,26906,chrIII,hydrolase activity;peptidase activity
YCL058C,0.8014,0,0.7918,0,0.9999,0.39275,0.9594,0.00218,0.7658,0,0.9251,0.02082,0.857,0,S000000563,FYV5,Function required for Yeast Viability,,,Protein involved in regulation of the mating pathway,Protein involved in regulation of the mating pathway; binds with Matalpha2p to promoters of haploid-specific genes; required for survival upon exposure to K1 killer toxin; involved in ion homeostasis,459,23523,23981,chrIII,molecular function unknown
YCL060C,0.968,0.00998,0.968,0,1.0404,2.00E-05,1.0454,0.00064,1.0257,3.00E-05,0.9744,0.31967,1.0054,0.22481,S000000565,,,,,Merged open reading frame,"Merged open reading frame; does not encode a discrete protein; YCL060C was originally annotated as an independent ORF, but as a result of a sequence change, it was merged with an adjacent ORF into a single reading frame, designated YCL061C",954,20409,21362,chrIII,not_yet_annotated
YCL061C,0.9793,0.09614,0.9542,0,1.0783,0,1.107,0,1.0173,0.00432,0.8803,0.00015,1.0065,0.18785,S000000566,MRC1,Mediator of the Replication Checkpoint,,"Non-essential gene; null mutant shows increased duration of the S phase of the cell cycle and increased chromosome instability; null mutation results in constitutive phosphorylation of Rad53p; null mutants are sensitive to some chemicals, including benomyl, hydroxyurea, MMS, myriocin, quinine, but show increased resistance to other chemicals, including camptothecin, fluconazole, mycophenolic acid; null mutation increases transposition of Ty elements",S-phase checkpoint protein required for DNA replication,"S-phase checkpoint protein required for DNA replication; couples DNA helicase and polymerase; interacts with and stabilizes Pol2p at stalled replication forks during stress, where it forms a pausing complex with Tof1p and is phosphorylated by Mec1p; defines a novel S-phase checkpoint with Hog1p that coordinates DNA replication and transcription upon osmostress; protects uncapped telomeres; Dia2p-dependent degradation mediates checkpoint recovery; mammalian claspin homolog",3291,18816,22106,chrIII,molecular function unknown
YCL062W,0.9688,0.01202,0.9667,0,0.9372,0,0.9666,0.01085,0.9686,0,0.9918,0.46867,0.9412,0,S000000567,,,,,Merged open reading frame,"Merged open reading frame; does not encode a discrete protein; YCL062W as originally annotated as an independent ORF, but as a result of sequence changes, it was merged with an adjacent ORF into a single reading frame, designated YCL063W",588,17955,18542,chrIII,not_yet_annotated
YCL063W,0.9402,0,0.9687,0,1.0253,0.00618,1.0362,0.00598,1,0.43089,0.9919,0.47022,0.9613,0,S000000568,VAC17,VACuole related,,,Phosphoprotein involved in vacuole inheritance,Phosphoprotein involved in vacuole inheritance; degraded in late M phase of the cell cycle; acts as a vacuole-specific receptor for myosin Myo2p; involved in regulation of asymmetric inheritance of aggregated/misfolded proteins and age reset,1272,17290,18561,chrIII,other
YCL064C,1.0061,0.41154,0.9881,0.03915,0.9834,0.05635,1.0064,0.31775,0.9832,0.00562,0.8678,3.00E-05,1.0069,0.17676,S000000569,CHA1,Catabolism of Hydroxy Amino acids,,,Catabolic L-serine (L-threonine) deaminase,"Catabolic L-serine (L-threonine) deaminase; catalyzes the degradation of both L-serine and L-threonine; required to use serine or threonine as the sole nitrogen source, transcriptionally induced by serine and threonine",1083,15798,16880,chrIII,lyase activity
YCL069W,1.0087,0.35197,0.9862,0.01797,0.996,0.30502,1.0223,0.06892,0.9918,0.12455,1.0332,0.25106,0.9848,0.02414,S000000574,VBA3,Vacuolar Basic Amino acid transporter,,,Permease of basic amino acids in the vacuolar membrane,"Permease of basic amino acids in the vacuolar membrane; VBA3 has a paralog, VBA5, that arose from a segmental duplication",1377,9706,11082,chrIII,transmembrane transporter activity
YCL074W,0.999,0.5213,1.0045,0.28494,1.0016,0.36045,1.011,0.23434,1.0069,0.16714,1.0109,0.4477,1.0022,0.32755,S000000579,,,,,Pseudogene: encodes fragment of Ty Pol protein,Pseudogene: encodes fragment of Ty Pol protein,927,2824,3750,chrIII,RNA binding;hydrolase activity;nuclease activity;nucleotidyltransferase activity;peptidase activity;transferase activity
YCL075W,1.0316,0.01086,0.9946,0.24364,1.0179,0.04303,1.025,0.04697,0.9913,0.10813,1.0357,0.22805,0.9932,0.18155,S000000580,,,,,Pseudogene: encodes fragment of Ty Pol protein,Pseudogene: encodes fragment of Ty Pol protein,441,2126,2566,chrIII,RNA binding;hydrolase activity;nuclease activity;nucleotidyltransferase activity;peptidase activity;transferase activity
YCL076W,1.0423,0.00053,1.0058,0.2238,1.0337,0.00033,1.0445,0.0008,1.0045,0.2613,1.0515,0.11009,1.0093,0.11451,S000000581,,,,,Dubious open reading frame,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",744,1392,2135,chrIII,molecular function unknown
YCR001W,1.0156,0.19095,1.0082,0.12984,1.0366,0.0001,1.0497,0.00019,1.0028,0.32896,1.0923,0.00397,1.0206,0.00316,S000000594,,,,,Dubious open reading frame,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; YCR001W is not an essential gene",315,115685,115999,chrIII,molecular function unknown
YCR004C,1.0147,0.21111,0.9929,0.16966,0.9924,0.22108,1.0281,0.02861,0.9858,0.01757,1.0496,0.122,0.9849,0.02472,S000000597,YCP4,,,,Protein of unknown function,"Protein of unknown function; has sequence and structural similarity to flavodoxins; predicted to be palmitoylated; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",744,119575,120318,chrIII,other
YCR005C,1.0041,0.45721,0.9874,0.03056,1.012,0.12558,1.0296,0.02235,0.9862,0.0205,1.06,0.06522,0.9842,0.01983,S000000598,CIT2,CITrate synthase,,"Non-essential gene; null mutant displays decreased ability to utilize nonfermentable carbon sources such as glycerol, ethanol, and lactate; in large-scale studies the null mutant shows decreased thermotolerance, and sensitivity to a fragment of human Huntingtin; overexpression in a diploid confers increased pseudohyphal growth","Citrate synthase, peroxisomal isozyme involved in glyoxylate cycle","Citrate synthase, peroxisomal isozyme involved in glyoxylate cycle; catalyzes condensation of acetyl coenzyme A and oxaloacetate to form citrate; expression is controlled by Rtg1p and Rtg2p transcription factors; SCF-Ucc1 regulates level of Cit2p to maintain citrate homeostasis; oxaloacetate-dependent positive feedback loop inhibits Cit2p ubiquitination; CIT2 has a paralog, CIT1, that arose from the whole genome duplication",1383,120946,122328,chrIII,transferase activity
YCR006C,0.9905,0.33411,0.9867,0.02242,0.9902,0.16928,1.01,0.25143,0.9684,0,1.0432,0.16755,0.9869,0.04581,S000000599,,,,,Dubious open reading frame,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",474,122530,123003,chrIII,molecular function unknown
YCR007C,1.0135,0.23924,0.9931,0.17939,1.0197,0.02809,1.0447,0.00077,0.9934,0.17765,0.9522,0.13402,1.0075,0.16128,S000000600,,,Protein whose biological role is unknown; localizes to the cell periphery and vacuole|uniprot_proteome=UP000002311,,Putative integral membrane protein,Putative integral membrane protein; member of DUP240 gene family; SWAT-GFP and mCherry fusion proteins localize to the cell periphery and vacuole; YCR007C is not an essential gene,720,126011,126730,chrIII,molecular function unknown
YCR008W,0.9809,0.12083,0.9505,0,1.0462,0,1.0763,0,0.9937,0.19094,0.8715,5.00E-05,0.9529,0,S000000601,SAT4,,,,Ser/Thr protein kinase involved in salt tolerance,"Ser/Thr protein kinase involved in salt tolerance; funtions in regulation of Trk1p-Trk2p potassium transporter; overexpression affects the Fe-S and lipoamide containing proteins in the mitochondrion; required for lipoylation of Lat1p, Kgd2p and Gcv3p; partially redundant with Hal5p; has similarity to Npr1p; localizes to the cytoplasm and mitochondrion",1812,128470,130281,chrIII,kinase activity;transferase activity
YCR009C,0.8266,0,0.9067,0,0.416,0,0.3607,0,0.4353,0,0.3796,0,0.8021,0,S000000602,RVS161,Reduced Viability on Starvation,Cytoskeletal protein; forms a complex with Rvs167p and is involved in actin cytoskeleton reorganization and endocytosis; localizes to the actin cortical patch|uniprot_proteome=UP000002311,,Amphiphysin-like lipid raft protein,"Amphiphysin-like lipid raft protein; N-BAR domain protein that interacts with Rvs167p and regulates polarization of the actin cytoskeleton, endocytosis, cell polarity, cell fusion and viability following starvation or osmotic stress",798,130745,131542,chrIII,cytoskeletal protein binding;lipid binding
YCR010C,1.028,0.02523,0.9986,0.42714,1.0308,0.001,1.0691,0,1.0009,0.40109,1.0751,0.02051,1.0136,0.0392,S000000603,ADY2,Accumulation of DYads,,Non-essential gene; mutations cause sensitivity to acetic acid and decreased stationary phase survival; homozygous nul mutation in diploid results in reduced sporulation and higher frequency of abnormal asci (dyads),Acetate transporter required for normal sporulation,"Acetate transporter required for normal sporulation; phosphorylated in mitochondria; ADY2 has a paralog, ATO2, that arose from the whole genome duplication",852,132273,133124,chrIII,transmembrane transporter activity
YCR011C,0.9826,0.15385,0.986,0.01689,0.9781,0.01656,1.0054,0.3375,0.9936,0.18698,1.014,0.42197,0.9971,0.30656,S000000604,ADP1,ATP-Dependent Permease,,"Non-essential gene; in large-scale studies, null mutant shows sensitivity to cycloheximide and neomycin; overexpression causes slow growth",Putative ATP-dependent permease of the ABC transporter family,Putative ATP-dependent permease of the ABC transporter family,3150,133724,136873,chrIII,ATPase activity;hydrolase activity;transmembrane transporter activity
YCR015C,1.0245,0.05016,0.9887,0.04839,1.0295,0.00158,1.0378,0.00421,0.9883,0.04415,1.0291,0.28889,0.9995,0.37853,S000000608,CTO1,Cold TOlerance,Protein involved in cellular response to cold; celluar location is unknown|uniprot_proteome=UP000002311,,Protein required for cold tolerance,Protein required for cold tolerance; involved in phosphate uptake; YCR015C is not an essential gene,954,141217,142170,chrIII,molecular function unknown
YCR016W,0.9656,0.00542,0.98,0.00066,1.0029,0.33109,0.9664,0.01049,0.9828,0.00458,0.9975,0.51196,0.9722,8.00E-05,S000000609,,,Protein whose biological role is unknown; localizes to the nucleus and nucleolus in a large-scale study|uniprot_proteome=UP000002311,,Putative protein of unknown function,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus and nucleus; predicted to be involved in ribosome biogenesis,873,143634,144506,chrIII,molecular function unknown
YCR017C,0.9811,0.12459,0.9549,0,0.9699,0.0013,1.0602,1.00E-05,0.9744,3.00E-05,0.7441,0,0.978,0.00168,S000000610,CWH43,Calcofluor White Hypersensitive,,,Putative sensor/transporter protein involved in cell wall biogenesis,Putative sensor/transporter protein involved in cell wall biogenesis; contains 14-16 transmembrane segments and several putative glycosylation and phosphorylation sites; null mutation is synthetically lethal with pkc1 deletion,2862,144773,147634,chrIII,molecular function unknown
YCR019W,1.0046,0.44718,0.9994,0.45705,1.0536,0,1.0732,0,1.021,0.00059,1.0022,0.5141,1.0081,0.14466,S000000612,MAK32,MAintenance of Killer,,,Protein necessary for stability of L-A dsRNA-containing particles,Protein necessary for stability of L-A dsRNA-containing particles,1092,152837,153928,chrIII,molecular function unknown
YCR020C,0.995,0.43839,0.9877,0.03423,1.0135,0.0981,1.0225,0.06778,1.0041,0.27689,1.0613,0.05976,0.9982,0.33942,S000000613,PET18,PETite colonies,,,Protein of unknown function,Protein of unknown function; has weak similarity to proteins involved in thiamin metabolism; expression is induced in the absence of thiamin,648,154012,154659,chrIII,molecular function unknown
YCR020C-A,0.9889,0.29325,0.9593,0,0.9283,0,0.9684,0.01529,0.9722,1.00E-05,1.0842,0.00899,0.9805,0.00499,S000000614,MAK31,MAintenance of Killer,,,Non-catalytic subunit of N-terminal acetyltransferase of the NatC type,Non-catalytic subunit of N-terminal acetyltransferase of the NatC type; required for replication of dsRNA virus; member of the Sm protein family,267,154830,155096,chrIII,transferase activity
YCR020W-B,0.734,0,0.602,0,0.7266,0,0.5468,0,0.4274,0,0.4895,0,0.5071,0,S000006439,HTL1,High-Temperature Lethal,"Subunit of RSC chromatin remodeling complex, slides along DNA affecting nucleosome positioning and transcription regulation|uniprot_proteome=UP000002311",,Component of the RSC chromatin remodeling complex,"Component of the RSC chromatin remodeling complex; RSC functions in transcriptional regulation and elongation, chromosome stability, and establishing sister chromatid cohesion; involved in telomere maintenance",237,155320,155556,chrIII,ATPase activity;chromatin binding;hydrolase activity
YCR021C,0.9984,0.50924,0.9931,0.17997,1.0111,0.14229,1.0078,0.29153,0.9946,0.22641,0.9998,0.5281,1.0002,0.38701,S000000615,HSP30,Heat Shock Protein,,,Negative regulator of the H(+)-ATPase Pma1p,"Negative regulator of the H(+)-ATPase Pma1p; stress-responsive protein; hydrophobic plasma membrane localized; induced by heat shock, ethanol treatment, weak organic acid, glucose limitation, and entry into stationary phase",999,156109,157107,chrIII,molecular function unknown
YCR022C,1.0255,0.04213,1.0142,0.01502,1.0329,0.00046,1.049,0.00023,1.0105,0.06485,0.8761,8.00E-05,1.0179,0.00926,S000000616,,,,,Dubious open reading frame,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; YCR022C is not an essential gene",345,157421,157765,chrIII,molecular function unknown
YCR023C,1.001,0.52186,0.9962,0.31315,1.0125,0.11502,1.0382,0.00381,0.9907,0.09182,0.8367,0,1.0071,0.1706,S000000617,,,Predicted integral membrane protein whose biological role is unknown; localizes to the vacuolar membrane|uniprot_proteome=UP000002311,,Vacuolar membrane protein of unknown function,Vacuolar membrane protein of unknown function; member of the multidrug resistance family; YCR023C is not an essential gene,1836,158538,160373,chrIII,molecular function unknown
YCR024C,0.9315,0,0.9409,0,0.4859,0,0.4333,0,0.9636,0,0.7915,0,0.8371,0,S000000618,SLM5,Synthetic Lethal with Mss4,Mitochondrial asparaginyl-tRNA synthetase that performs asparaginyl-tRNA aminoacylation by coupling asparagine to asparaginyl-tRNA|uniprot_proteome=UP000002311,,Mitochondrial asparaginyl-tRNA synthetase,Mitochondrial asparaginyl-tRNA synthetase,1479,160744,162222,chrIII,ligase activity
YCR024C-A,1.0124,0.26207,1.022,0.00017,0.9958,0.3022,1.0306,0.01849,1.0133,0.02461,0.7835,0,0.9677,0,S000000619,PMP1,Plasma Membrane Proteolipid,,,Regulatory subunit for the plasma membrane H(+)-ATPase Pma1p,"Regulatory subunit for the plasma membrane H(+)-ATPase Pma1p; small single-membrane span proteolipid; forms unique helix and positively charged cytoplasmic domain that is able to specifically segregate phosphatidylserines; PMP1 has a paralog, PMP2, that arose from the whole genome duplication",123,162945,163067,chrIII,enzyme regulator activity
YCR025C,1.0079,0.37019,1.0167,0.00438,1.0032,0.32464,1.0409,0.00205,1.0106,0.06402,0.7788,0,0.974,0.00022,S000000620,,,,,Dubious open reading frame,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; YCR025C is not an essential gene",411,163446,163856,chrIII,molecular function unknown
YCR027C,1.0365,0.00306,1.0214,0.00025,1.0454,0,1.0661,0,1.0319,0,0.8129,0,0.9402,0,S000000622,RHB1,RHeB homolog,,,Putative Rheb-related GTPase,Putative Rheb-related GTPase; involved in regulating canavanine resistance and arginine uptake; member of the Ras superfamily of G-proteins,630,167370,167999,chrIII,GTPase activity;hydrolase activity
YCR028C,1.0271,0.03034,1.0175,0.00296,1.0362,0.00012,1.0554,3.00E-05,0.5289,0,0.8029,0,0.9157,0,S000000623,FEN2,FENpropimorph resistance,,,Plasma membrane H+-pantothenate symporter,Plasma membrane H+-pantothenate symporter; confers sensitivity to the antifungal agent fenpropimorph; relocalizes from vacuole to cytoplasm upon DNA replication stress,1539,170886,172424,chrIII,transmembrane transporter activity
YCR028C-A,0.8593,0,0.8838,0,0.4996,0,0.4245,0,0.8328,0,0.7857,0,0.5947,0,S000007222,RIM1,Replication In Mitochondria,Single-stranded DNA binding protein; stimulates use of RNA primers by mitochondrial DNA polymerase; localizes to mitochondrial nucleoids|uniprot_proteome=UP000002311,,ssDNA-binding protein essential for mitochondrial genome maintenance,ssDNA-binding protein essential for mitochondrial genome maintenance; involved in mitochondrial DNA replication; stimulates utilization by Mip1p DNA polymerase of RNA primers synthesized by Rpo41p,491,172950,173440,chrIII,DNA binding
YCR030C,0.9882,0.27819,0.9984,0.41751,1.0326,0.00052,1.0458,0.00057,1.0039,0.2868,0.9546,0.15045,1.0206,0.0031,S000000626,SYP1,Suppressor of Yeast Profilin deletion,,,Negative regulator of WASP-Arp23 complex,Negative regulator of WASP-Arp23 complex; involved in endocytic site formation; directly inhibits Las17p stimulation of Arp23 complex-mediated actin assembly in vitro; may regulate assembly and disassembly of the septin ring; colocalizes and interacts with septin subunits; potential role in actin cytoskeletal organization,2613,173826,176438,chrIII,enzyme regulator activity
YCR031C,0.964,0.00346,0.9654,0,1.0295,0.00162,1.0323,0.01339,0.909,0,0.7916,0,0.9388,0,S000000627,RPS14A,Ribosomal Protein of the Small subunit,mRNA-binding constituent of the cytosolic small ribosomal subunit; involved in maturation of the small subunit rRNA and assembly of the small ribosomal subunit|uniprot_proteome=UP000002311,,Protein component of the small (40S) ribosomal subunit,"Protein component of the small (40S) ribosomal subunit; required for ribosome assembly and 20S pre-rRNA processing; mutations confer cryptopleurine resistance; homologous to mammalian ribosomal protein S14 and bacterial S11; RPS14A has a paralog, RPS14B, that arose from the whole genome duplication",721,177500,178220,chrIII,RNA binding;mRNA binding;structural constituent of ribosome;structural molecule activity
YCR032W,1.0153,0.19735,1.0187,0.00144,0.9891,0.14665,0.9522,0.00032,1.0248,5.00E-05,0.8454,0,1.0273,0.0001,S000000628,BPH1,Beige Protein Homolog,,,Protein homologous to Chediak-Higashi syndrome and Beige proteins,"Protein homologous to Chediak-Higashi syndrome and Beige proteins; both of which are implicated in disease syndromes in human and mouse, respectively, due to defective lysosomal trafficking; mutant phenotype and genetic interactions suggest a role in protein sorting",6504,179520,186023,chrIII,molecular function unknown
YCR033W,0.9616,0.00178,0.9776,0.00013,1.0532,0,1.1419,0,0.9495,0,0.8194,0,0.9052,0,S000000629,SNT1,SaNT domains,,,Subunit of the Set3C deacetylase complex,"Subunit of the Set3C deacetylase complex; interacts directly with the Set3C subunit, Sif2p; putative DNA-binding protein; mutant has increased aneuploidy tolerance; relocalizes to the cytosol in response to hypoxia",3681,186489,190169,chrIII,molecular function unknown
YCR034W,0.9954,0.44739,0.9938,0.20932,0.9734,0.00412,1.0042,0.35927,1.0131,0.02737,0.7886,0,0.747,0,S000000630,ELO2,fatty acid ELOngation,"Fatty acid elongase involved in very long-chain fatty acid biosynthesis, sphingolipid biosynthesis and late endosome to vacuole transport via the multivesicular body sorting pathway; localizes to the endoplasmic reticulum|uniprot_proteome=UP000002311",,"Fatty acid elongase, involved in sphingolipid biosynthesis","Fatty acid elongase, involved in sphingolipid biosynthesis; acts on fatty acids of up to 24 carbons in length; mutations have regulatory effects on 1,3-beta-glucan synthase, vacuolar ATPase, and the secretory pathway; ELO2 has a paralog, ELO1, that arose from the whole genome duplication; lethality of the elo2 elo3 double null mutation is functionally complemented by human ELOVL1 and weakly complemented by human ELOVL3 or ELOV7",1044,190592,191635,chrIII,transferase activity
YCR036W,0.9749,0.0451,0.9767,7.00E-05,0.9845,0.06869,0.9942,0.3306,1.0023,0.34761,0.7337,0,0.9263,0,S000000632,RBK1,RiBoKinase,,,Putative ribokinase,Putative ribokinase,1002,193297,194298,chrIII,kinase activity;transferase activity
YCR037C,0.9911,0.34753,0.992,0.13622,1.0143,0.08648,1.0133,0.1919,1.0023,0.35002,1.083,0.01002,1.0024,0.323,S000000633,PHO87,PHOsphate metabolism,,,Low-affinity inorganic phosphate (Pi) transporter,"Low-affinity inorganic phosphate (Pi) transporter; acts upstream of Pho81p in regulation of the PHO pathway; expression is independent of Pi concentration and Pho4p activity; contains 12 membrane-spanning segments; PHO87 has a paralog, PHO90, that arose from the whole genome duplication",2772,194414,197185,chrIII,transmembrane transporter activity
YCR043C,1.0093,0.33941,0.9973,0.3667,1.0046,0.29211,1.0387,0.0034,0.9857,0.01661,0.9742,0.31799,1.0091,0.11913,S000000639,,,Protein whose biological role is unknown; localizes to the Golgi apparatus and the mating projection tip in large-scale studies|uniprot_proteome=UP000002311,,Putative protein of unknown function,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the Golgi apparatus; YCR043C is not an essential gene,384,206261,206644,chrIII,molecular function unknown
YCR044C,0.5659,0,0.5616,0,0.3162,0,0.2657,0,0.4812,0,0.6351,0,0.3598,0,S000000640,PER1,protein Processing in the ER,,,Protein of the endoplasmic reticulum,Protein of the endoplasmic reticulum; required for GPI-phospholipase A2 activity that remodels the GPI anchor as a prerequisite for association of GPI-anchored proteins with lipid rafts; functionally complemented by human ortholog PERLD1,1074,206877,207950,chrIII,molecular function unknown
YCR045C,0.9703,0.01702,0.9783,0.00022,0.9634,0.0001,0.9597,0.00234,1.0007,0.40674,0.5383,0,0.9136,0,S000000641,RRT12,Regulator of rDNA Transcription,,,Probable subtilisin-family protease,Probable subtilisin-family protease; role in formation of the dityrosine layer of spore walls; localizes to the spore wall and also the nuclear envelope and ER region in mature spores,1476,208135,209610,chrIII,hydrolase activity;peptidase activity
YCR047C,0.5695,0,0.562,0,0.7341,0,0.8727,0,0.5036,0,0.5957,0,0.4669,0,S000000643,BUD23,BUD site selection,,,Methyltransferase that methylates residue G1575 of 18S rRNA,Methyltransferase that methylates residue G1575 of 18S rRNA; required for rRNA processing and nuclear export of 40S ribosomal subunits independently of methylation activity; diploid mutant displays random budding pattern; functional homolog of human WBSCR22,828,210718,211545,chrIII,methyltransferase activity;transferase activity
YCR048W,0.9956,0.45059,1.004,0.30678,0.9966,0.31788,1.0136,0.18764,1.0001,0.42986,1.0553,0.08803,1.0034,0.28677,S000000644,ARE1,Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme,,"Non-essential gene; null mutant shows reduced amounts of sterol esters; in systematic studies null mutants show reduced competitive fitness, increased resistance to selenomethionine and decreased endocytosis",Acyl-CoA:sterol acyltransferase,"Acyl-CoA:sterol acyltransferase; endoplasmic reticulum enzyme that contributes the major sterol esterification activity in the absence of oxygen; ARE1 has a paralog, ARE2, that arose from the whole genome duplication",1833,211929,213761,chrIII,transferase activity
YCR049C,1.0306,0.01392,1.0221,0.00016,1.0328,0.00048,1.0532,6.00E-05,1.0241,8.00E-05,0.789,0,0.9733,0.00015,S000000645,,,,,Dubious open reading frame,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",447,211871,212317,chrIII,molecular function unknown
YCR050C,0.9788,0.08867,0.9808,0.00106,0.9722,0.00283,0.9696,0.01904,0.9987,0.38739,0.5864,0,0.9173,0,S000000646,,,Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311,,Non-essential protein of unknown function,Non-essential protein of unknown function; deletion mutant is synthetically sick or lethal with alpha-synuclein,309,213464,213772,chrIII,molecular function unknown
YCR051W,0.9709,0.0195,0.9774,0.00012,1.0076,0.22108,1.023,0.06266,0.9458,0,0.7982,0,0.9645,0,S000000647,,,Protein whose biological role is unknown; localizes to the nucleus and cytoplasm in a large-scale study|uniprot_proteome=UP000002311,,Putative protein of unknown function,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; contains ankyrin (Ank) repeats; YCR051W is not an essential gene,669,214071,214739,chrIII,molecular function unknown
YCR053W,0.9699,0.01541,0.9815,0.00161,1.0068,0.23919,1.0036,0.37305,0.8882,0,0.818,0,1.0114,0.07026,S000000649,THR4,THReonine requiring,,,Threonine synthase,Threonine synthase; conserved protein that catalyzes formation of threonine from O-phosphohomoserine; expression is regulated by the GCN4-mediated general amino acid control pathway,1545,216697,218241,chrIII,lyase activity
